# Rime user dictionary
#@/db_name	sbfz.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	0
#@/user_id	main
ccuo 	苁	c=20 d=2.1e-07 t=0
ccuo 	苍	c=53900 d=0.00053901 t=0
ccuo 	茶	c=71970 d=0.00071971 t=0
ccuo 	菜	c=66336 d=0.00066337 t=0
ccuo 	蜍	c=700 d=7.01e-06 t=0
cdae 	刍	c=585 d=5.86e-06 t=0
cdae 	潺	c=2012 d=2.013e-05 t=0
cdai 	池	c=43749 d=0.0004375 t=0
cdai 	滁	c=310 d=3.11e-06 t=0
cdao 	汊	c=203 d=2.04e-06 t=0
cdao 	涌	c=6 d=7e-08 t=0
cdao 	澄	c=16601 d=0.00016602 t=0
cdee 	凑	c=22731 d=0.00022732 t=0
cdee 	残	c=73428 d=0.00073429 t=0
cdei 	漕	c=482 d=4.83e-06 t=0
cdei 	潮	c=45711 d=0.00045712 t=0
cdei 	豉	c=191 d=1.92e-06 t=0
cdia 	冲	c=185089 d=0.0018509 t=0
cdia 	殂	c=165 d=1.66e-06 t=0
cdia 	测	c=82623 d=0.00082624 t=0
cdia 	涔	c=2502 d=2.503e-05 t=0
cdoa 	沉	c=229372 d=0.00229373 t=0
cdoe 	淬	c=2466 d=2.467e-05 t=0
cdoe 	淳	c=11703 d=0.00011704 t=0
cdoe 	澈	c=8066 d=8.067e-05 t=0
cdoe 	澶	c=74 d=7.5e-07 t=0
cdoo 	淙	c=1112 d=1.113e-05 t=0
cduo 	沧	c=15232 d=0.00015233 t=0
ce 	成	c=1149863 d=0.0114986 t=0
cfao 	掺	c=3101 d=3.102e-05 t=0
cfei 	持	c=295150 d=0.00295151 t=0
cfei 	措	c=62646 d=0.00062647 t=0
cfei 	搽	c=780 d=7.81e-06 t=0
cfia 	抻	c=143 d=1.44e-06 t=0
cfia 	抽	c=73401 d=0.00073402 t=0
cfia 	揣	c=6544 d=6.545e-05 t=0
cfia 	摧	c=8916 d=8.917e-05 t=0
cfia 	撮	c=3601 d=3.602e-05 t=0
cfia 	操	c=71635 d=0.00071636 t=0
cfie 	扯	c=40740 d=0.00040741 t=0
cfio 	撑	c=25370 d=0.00025371 t=0
cfiu 	抄	c=14283 d=0.00014284 t=0
cfoe 	搐	c=4442 d=4.443e-05 t=0
cfoe 	撤	c=28877 d=0.00028878 t=0
cfoo 	撺	c=569 d=5.7e-06 t=0
cfoo 	擦	c=31061 d=0.00031062 t=0
cfou 	搓	c=6954 d=6.955e-05 t=0
cfua 	搀	c=4123 d=4.124e-05 t=0
cfue 	捶	c=5292 d=5.293e-05 t=0
cfue 	插	c=51983 d=0.00051984 t=0
cfue 	攒	c=77 d=7.8e-07 t=0
cfuo 	挫	c=13639 d=0.0001364 t=0
cfuu 	拆	c=21243 d=0.00021244 t=0
cfuu 	搋	c=12 d=1.3e-07 t=0
cgai 	弛	c=2744 d=2.745e-05 t=0
cgao 	戳	c=8245 d=8.246e-05 t=0
cgei 	床	c=111850 d=0.00111851 t=0
